condition,training_seed,global_step,checkpoint_sha256,ppo_updates,optimizer_steps,episodes,successes,success_rate,mean_return,std_return,mean_length,mean_illegal_pickup_dropoff,logical_feature_refreshes,physical_api_requests
zeros,3,40000,839a5abc65c94923a9ef7d490ae9b9d285bc47c895aa965a50c8abea33a2d73d,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,60000,8e3e70c4c5d28d8f0253ff8bbc01dbca1c65fc7130dfd95b0d05fb99e4853a10,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,80000,b053e671660a3d26f86c52c21b9316154c75e48bd3be1646140fa5ca1691ab4c,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,100000,43d9188df5548bdda0973bb41274e0729e78d055e2757e9b8c0bddffaa337bd1,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,120000,95d5697a095369fed79438320ece1a39db70790a0388ab8a0efb86beede50762,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,140000,bf322b4df90155b8a1ade04e96ab376b338cca8db1fd51ddafe9d63fba964989,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,160000,e7d3fe7644d004f3dca6eb8afb3f07a08dbb011ce194a48144129f8bec3f0591,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,180000,200e84147f308e251aa0704b4d696e886999ac11c9c2c0c05296d0a5620f6064,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,200000,2d07455af1fc1598ae75427e41a60973f5ebb006dd41afbdef576a62b73382e5,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,20000,71365b54f7b8d188f2545a1c69c8a1a01509e9a2910982aa0fcdc7240920cbba,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,40000,c22d3e2c621fae8c7465c6a2c63e79a3b79b77299dfa18f16fdc8aa0ec728a33,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,60000,926cba8961744fdeeb65eb1b8cbfa31b89f0dc1696bc390f77a10205ebff7586,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,80000,aa8d532a41c837ab8170a2c4e614589d6fc796ee028ccea3a6872c10ddc7bfec,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,100000,de14735d620864d29445470b8a54e633f75f56f9cafb2c4eb9268b6b2ab06ae7,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,120000,8852073360f9a8a5733cd13a234b60a07b4b6e9bca3ceef3ba2c193b55a1b7b4,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,140000,735f125bc1f3c3154cc7ee39692c43e73e33b422a76cf24f8c736d4631ecfaa8,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,160000,f9f638504c00359a3944a13791ad0b4c98b60528669c170616944b032cf653b2,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,180000,d4308cdc901ce1ed62e6dcd4d015a02f98581e5e6937626347bd58cd2ee226f5,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,4,200000,e38425b5be293b706997b4af0a5b05b6e7d3d2276fb9e397669e828ad6fd2959,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
rules,0,20000,716f193492c360f71dc7a0d24679f84df0f054c83a9495055be90a9a72ca9df4,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,40000,ff0a3f3ccee9d3b1f201a88288116e2530fc93285609ec1a9f08c632b8c1884b,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,60000,4bbc8378b167f40a7f4b7c682dc13008ab00f1f41ce95c7057e9dc35b560d13c,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,80000,80358f57ce64bc24336f091cda612c44b1aaae10659c79b5973a7a1f24875bdc,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,100000,d24ae7faf41ba25dc5b8c53337d468a556d59916cd8cbd402a6502d1a57dd39d,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,120000,abadbacaccadc726d6b958699f93fb02c1fb99ef63a5db961f204b1f63beafb8,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,140000,6ed408e1de0765dd55d00214ce2664a805b3e7cffff5a1b424fef6dc829f814b,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,160000,de27dc0ffdde38408bbc13b9d34d8986c1e95f0234e896b1203d12fce9f14ae1,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,180000,89b4c6aa20c48c983c5f37113e8bad8462845b9052eb304c44c3ff5d65a8567d,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,0,200000,7584a194eacc495c100dbc42dccaa0643814112af0979f77b3a1cdef5efd9585,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,20000,e3a09e3331000c85476a248132a365097ee4daad73e13f6be0b2cd8163c1be4e,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,40000,9ce7bb003265b297be5ade907e448e1a0fa05bb53394f89cb56d57bfef1ac3c8,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,60000,7270495d59cd2fd2a543973b39c8f7a3d1adb6943ae1d85b85adf9d07d0cf259,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,80000,88b975c25d5b3101dc56da1d605fa55485d6007cb8bb3d98a84a0c919d6e28a2,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,100000,b4d130a5a788e61c78a65cbdb059262018c913b4d08172051b49efa7fccadde2,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,120000,ce9c06eb7a1a9890fb5f74175fe60c4130b83a9cbf76e5a949bb54dbd3e95f5a,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,140000,bc05e523c675158ae4f09218b04aa913067fbdd2088a572bba364f75e0288a05,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,160000,e09654ab5b0790103807bfab6264ba712870275d4fef03219c848cfd84f9c41c,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,180000,5a2771e79182a075936f97ef668ad59beda92e8f68fed011fa9b4005a1f87069,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,1,200000,7b02a5e876bcbe569f4daebea85abe4fbce8a1cf2fbed65ae522f56243e1631c,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,20000,9192c6fb597a7ba0ced33f2f12a4816f9370ca9c2f1b057c0fd7854ea80ada55,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,40000,2284bf519d7193b92f945f4fe152aa3dde44403c33d33215f5b247e2fd5a781a,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,60000,79397335c20c739ad7a2b86f02817652a78b45ba715163083c529170698d6d4e,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,80000,01ea590fbabf0b60b49e78eecd9f3fe3886e2b03a4f26ba2963321eaaca9907c,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,100000,8ce0922df616c86ddf05a62d7d6003bbb7ce5e3146bf117e88f1cb4d480660c9,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,120000,e1d3e038288638cdc8078845e8e7f64b75b4cf15c933cdaea7be19464e413097,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,140000,d4eb2bd7e9b2163144915e667789e23b16f0917b56a28ba908514244e9d6fa4c,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,160000,40e747808b6383d01b784e9c22b709eabe311cbec5c633ee75ab0bdf93d98796,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,180000,56e01f6462f9ca4447c16dc4cd4cef73de1eacad75db74c653e57215a8ba45e5,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,2,200000,4f55a53a9b5752c4e57e1d604f34eb2e3b536a20faba01a8ddfd28fb8cddb757,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,20000,b4c049ac8f4e3bdd72cff7a4525bdc5b7079ff0d4e6b5b4930ac787f5166a947,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,40000,3fe9707c289c977fb3d3a1b4f49f4096604908fc4d8b33699101027be1bbe49f,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,60000,75b66d3027b0f7bc30e7eb4c2024399bb63cb0994171b6b8a8f6ef2e7de04354,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,80000,7e388764e919d2f7b2d980bfe39c83313ef24a7e50bac1b1a4ec8161fd553366,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,100000,3c5732e9364ca1c47f6456001e82cb5fec05f17a2ebb1a2faca4f5b7f005c9a8,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,120000,13b3e8128d489b10828fa726a355eb5f4538f1decb01bf622701a813a5a563a2,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,140000,6e4a6773b5d5eeaec485006239e0cccacd8b9ec8a7609011ba2342284dd5d7f5,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,160000,2fbc4bb35139d3e4e3c6daa51200bd9335bc34c83b536024f9b00a0276e0c48a,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,180000,bc402d2ea648b77713343ab5533be4d1bbc40d577f2af3b2ecfe5d983f63d9de,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,3,200000,fd80e9662b4ea6f27a92cdd445d516e9b4b5e9f07d0fdb22af83e4c9f35cd9a5,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,20000,e708b419d8f6450274357f4f6ef95f833d673646a64cd86d3e6f581fc9213db5,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,40000,32f8803c9b44233cfa260a4a654a21ebb2098de30cbca8f13ac42019dd6d9760,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,60000,ae09e1a6810c2f761fb08212a51e9f8e5b05f7d9fba91c131924eeb8bb4d270d,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,80000,06ba163da7e66c836f476e329ee3b0b9e6edf5dcdfefba28d79f8d486303cc9d,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,100000,d27385fd8b13622789f33fc230544e6f28d42f18ec62d95a23da46366dd34174,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,120000,fd5d799de76e9bd5d746b175ea80961bf7f3ff69be80baf3ab235c335dcd38b3,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,140000,173d2cd1d5ed710f2a9ae865f53946d1e4ee8259ceda378a401a408a105677a4,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,160000,7c6cc5e08b5434b30e9a3a5e0771dfa77766b4dd1701b3ff8fdcd4bc0df021d8,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,180000,46cf02de0d4c3b91034744c0e59c3b643be91244bf0a6cffe548886217981101,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
rules,4,200000,458f55ff96f8bb8a6d599252988c39ea96e8f510345241ac7c4d76dc98b7eda0,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,20000,ae5337a5c6934b15b7def4a81cddf1c37e8d7b426678bf7079a5832adf4d972e,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,40000,096f4d926e0645fb6dff1e24e85d5cc457043e8db99baad4117665ef37fd8690,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,60000,88583a397f290169103ac344e54e3c93c44dec0c060f34bd978bfbb8bbf42869,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,80000,e547001d5da404d6807d689a044f51c0883a67e624b7e3e117d26b8c9642557f,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,100000,ad7d61bab7b842ac707281084f7c54caace48516a568934065af72df4381fc23,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,120000,830cdf421c15a97432b5cae41e75dac3a09ffbd0cf9f375f04ee81108dc7caa7,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,140000,54d6fa90002e6dc232d87cbfb2a6afe0d4f23d214efba9dcc2ead27a0723156b,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,160000,b0f2ff700516d23cb2df40a967028c2d52789e6587ff3eda85b600171b19bbc4,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,180000,84d17c91c9cc750ade7e1f680852c37269f65e4c8d0e342dd3a2349cc97c9f90,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,0,200000,f9e6e78b24189bc3e7a041ba4ae8511b6bf5706bbd45a10f9aaadcc0baa39848,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,20000,50cb6825d85026197e6b2f83bd7910c1fcec30797b1801ef8a3d7311e446702d,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,40000,34b5f859c4b5e377800f398b7f581c879147b8697e20efc354a0ce1542812b12,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,60000,e45d56bc4e9e1aaa9c2f0d11d4de942865b070fa68f0e5f99700bae136dea055,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,80000,cc73e2e26ea077778850b239e0df0a1693cae11624b3e57760285f6174114ee4,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,100000,b485f670198b1767db1259ba73b3e84b150caf599a8fbd7542621b241710ee18,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,120000,eccd73d770cb4bdf371f73f1ad6c1dd3bc1faa5df907e15ef4ee69e8367471fa,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,140000,c453dbe8151e2906804866c8d977cdbc12ac3bb03413f852ea6bcc309cdf716c,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,160000,47be7987c96c937a59697e24fe54ecf2d7e6efec06d5ee16047c1750f4f64ea6,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,180000,d4e4c9d89e0134a58a49fde098e16624f3a8d3de5351ccc4acc7240664995320,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,1,200000,50ff14afe79761d7363b5330af3ef979b7bfb9efd442896bc8d518558f00c618,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,20000,4817b9893c23cb84b4649525772f3ff4ea333c81d43c07360faa56f53e3da8dc,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,40000,1ba7b3c238a8bfce0592a7ca3fb2e3379220aa5cc89edaf633bedb7effd134d0,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,60000,6886d2bcdca7f4e46ca0401e2d15bdb7d94f843d14a0f7429fc03ac808843050,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,80000,2c04b5dabd6e891795842716e473a910c8e54fdfa7afa8336d828b384e8488ab,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,100000,9c350e06e71cf06321d46b4f4b9f2e869fc8f13c1e972683d55edae15ff26478,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
jev,2,120000,c39cfa641a9eca617e2e7b694dd7960b00c377aa30d7eafd4ae98ef199f30764,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,60000,0
