condition,training_seed,global_step,checkpoint_sha256,ppo_updates,ppo_updates_kind,training_feature_refreshes,active_seconds,evaluation_seconds,sampled_episodes,sampled_flags,sampled_flag_rate,sampled_mean_return,sampled_std_return,sampled_mean_length,sampled_mean_progress,greedy_episodes,greedy_flags,greedy_flag_rate,greedy_mean_return,greedy_std_return,greedy_mean_length,greedy_mean_progress
jev_interval16,0,200000,1d7622710db8ec2cfee8a4c133f741624d255e75a402d18cac0cd0a19457034e,195,estimated,13473,135.0502626409999,10.007773387999919,20,0,0.0,34.360156249999946,36.841228499316664,109.5,0.2696334335337341,1,0,0.0,14.234999999999916,0.0,89.0,0.16098864395457582
jev_interval16,0,300000,ee9bcc6ef13748830ec3fadbad7265f776b1b377bf423748645422664b22bf56,292,estimated,20121,203.07441282099978,14.71265855299987,20,0,0.0,42.364937499999904,39.942506777270964,134.2,0.3137311289245159,1,0,0.0,14.214999999999934,0.0,91.0,0.16098864395457582
jev_interval16,0,400000,6974c494624e6063d518b0a389ec3a09557d90f4462e0937b4045912aaf0c3c7,390,estimated,26719,273.51773223099997,22.146012157999735,20,4,0.2,87.47825000000019,75.94592633125596,209.35,0.489302939211757,1,0,0.0,19.19499999999976,0.0,193.0,0.11289245156980628
jev_interval16,0,500000,a43f231d28f2cbe7d2cbbd4009c66c53b9915ef6eb85b83ad5dec98cd54e7e92,488,estimated,33285,345.3190483989998,30.13739946999965,20,3,0.15,93.09815625000002,68.91847748072185,209.65,0.536810120240481,1,0,0.0,139.50749999999988,0.0,304.0,0.8419372077488312
jev_interval16,0,600000,043accd7a03ceef8b10ec57c2f51887feb80100b06f24bd655b8f89d2cb68b71,585,estimated,39829,418.75740404099986,38.73539762699954,20,4,0.2,94.90140625000001,72.98269242143026,220.9,0.5295432531730125,1,0,0.0,59.38124999999976,0.0,193.0,0.40780895123580485
jev_interval16,0,700000,4485a8420c6acbdb25663e2d42a0cb790fa8ae6ba363d5d5a4bc968b9f4f22bb,683,estimated,46324,494.1380813979998,49.4424714659998,20,10,0.5,141.8573437500003,92.54343834913173,273.35,0.6789742818971276,1,0,0.0,141.46500000000097,0.0,466.0,0.7808951235804943
jev_interval16,0,800000,8211cf727fff29966b7380e1327248fdc28f42a48930abcdfe64e0b043e34115,781,estimated,52813,566.526282527,57.58782081299967,20,6,0.3,112.15131250000013,79.76296662536414,220.35,0.5869519038076153,1,0,0.0,62.24312499999973,0.0,151.0,0.4208583834335331
jev_interval16,0,900000,51bbc058339fa41b80aee2aa8fce1483566f4ceee21403cd358b74354657504d,878,estimated,59288,640.679946224,67.42976005799972,20,9,0.45,138.11712500000016,87.31228342054419,251.2,0.675188376753507,1,1,1.0,233.40000000000032,0.0,382.0,1.0
jev_interval16,0,1000000,df5f56719e09d10913de1ef6ade1cddc63e100ff25d7c4efb932daa51d5feb63,976,estimated,65738,715.0154280049995,76.72213270500004,20,9,0.45,142.17290625000027,87.6680557990704,256.4,0.6931409485637942,1,1,1.0,233.66000000000062,0.0,356.0,1.0
jev_interval16,0,1100000,daff8ec62e82289f68f628c1ee10facf7f3d1bfc485cdb927fbea8690710999c,1073,recorded,72190,789.6102502349997,87.31120678400009,20,14,0.7,185.14662500000034,75.04115786166145,296.75,0.8420120240480962,1,1,1.0,233.83500000000043,0.0,334.0,1.0
jev_interval16,0,1200000,eb47fae80e088f63389b56ed1ee950e93fd436ee50949a620d965358f49b5492,1171,recorded,78614,865.1413740189997,99.151402857,20,18,0.9,216.29978125000042,55.83752993943522,322.8,0.9403178022712091,1,1,1.0,233.82000000000053,0.0,340.0,1.0
jev_interval16,0,1300000,abf506716c8186f659e5f1e15cbe654162f2780980172788d2c305e5668dbccf,1268,recorded,85029,938.5921515679997,110.73739277800018,20,18,0.9,224.32018750000034,28.787192476307563,320.15,0.9831442885771544,1,1,1.0,233.94000000000037,0.0,319.0,1.0
jev_interval16,0,1400000,fb588cfca98f15fb58ef1862e150fc004ee4ec979b3ac2f5e1a6f5b0b378bb0b,1366,recorded,91423,1011.7059701169997,121.48896239800024,20,17,0.85,214.15831250000028,51.274141689359205,302.1,0.9451496325985304,1,1,1.0,234.0537500000003,0.0,312.0,1.0
jev_interval16,0,1500000,bff39521dc6300b50c7295924a73683c293559d81a6aa0f333226dcf64bedc0e,1464,recorded,97827,1086.4316175959998,132.69207184600032,20,18,0.9,217.1262500000004,54.89940788899744,304.15,0.943687040748163,1,1,1.0,233.98000000000042,0.0,324.0,1.0
jev_interval16,0,1600000,e8f18d0196f395ca1df3625d12b58c3ed2ee155a8e3c7e2a487e4f9389360d09,1561,recorded,104232,1162.001254388,144.0730019710004,20,20,1.0,234.0465625000003,0.04706357900488751,314.2,1.0,1,1,1.0,234.0537500000003,0.0,312.0,1.0
jev_interval16,0,1700000,33393da283557e6086d0e3566b2816497410e19e2dae3c3717430ed0ab0e0cf2,1659,recorded,110640,1235.9481121079998,154.06047853500058,20,14,0.7,185.60621875000018,77.4622821877676,267.3,0.8429148296593187,1,1,1.0,234.0237500000003,0.0,313.0,1.0
jev_interval16,0,1800000,d12861a1c6790dcb56f6a02af44542050a889bbde9ddb1e2d5ebc8f97383398d,1757,recorded,117048,1309.5786291909994,165.19579459700026,20,20,1.0,234.1122500000003,0.052610894784240046,312.3,1.0,1,1,1.0,234.1550000000003,0.0,312.0,1.0
jev_interval16,0,1900000,bb62e49a28a03e298792e66765ff45d03a582e3708665b31859d4ad7179e2800,1854,recorded,123454,1383.4138089999992,176.6291968100004,20,20,1.0,234.05343750000043,0.057392392516339694,315.3,1.0,1,1,1.0,234.14625000000046,0.0,312.0,1.0
