condition,training_seed,global_step,policy_mode,seed,return,length,flag_get,progress,terminated,truncated,decision_cap_reached
baseline,0,300000,greedy,4000000,-1.4337499999999963,27,False,0.07394121576486305,True,False,False
baseline,0,400000,sampled,2000000,106.72374999999946,310,False,0.667060788243153,True,False,False
baseline,0,400000,sampled,2000001,26.78375000000002,99,False,0.22858383433533758,True,False,False
baseline,0,400000,sampled,2000002,66.04499999999999,146,False,0.440908483633935,True,False,False
baseline,0,400000,sampled,2000003,233.36500000000072,384,True,1.0,True,False,False
baseline,0,400000,sampled,2000004,21.31499999999997,81,False,0.19839679358717435,True,False,False
baseline,0,400000,sampled,2000005,132.21499999999992,291,False,0.8022712090848363,True,False,False
baseline,0,400000,sampled,2000006,28.836875000000028,94,False,0.23928857715430876,True,False,False
baseline,0,400000,sampled,2000007,233.26375000000064,396,True,1.0,True,False,False
baseline,0,400000,sampled,2000008,28.569999999999936,126,False,0.2395724782899131,True,False,False
baseline,0,400000,sampled,2000009,21.214999999999954,91,False,0.19839679358717435,True,False,False
baseline,0,400000,sampled,2000010,232.77000000000103,442,True,1.0,True,False,False
baseline,0,400000,sampled,2000011,21.30499999999998,82,False,0.19839679358717435,True,False,False
baseline,0,400000,sampled,2000012,48.565000000000126,156,False,0.34802939211756845,True,False,False
baseline,0,400000,sampled,2000013,233.09750000000045,405,True,1.0,True,False,False
baseline,0,400000,sampled,2000014,24.190624999999947,106,False,0.21510020040080155,True,False,False
baseline,0,400000,sampled,2000015,65.91375000000008,155,False,0.4406880427521717,True,False,False
baseline,0,400000,sampled,2000016,63.34374999999999,200,False,0.4293587174348696,True,False,False
baseline,0,400000,sampled,2000017,26.75625000000001,89,False,0.22790247160988644,True,False,False
baseline,0,400000,sampled,2000018,27.675624999999982,84,False,0.23254843019372076,True,False,False
baseline,0,400000,sampled,2000019,107.83499999999948,229,False,0.6686706746826987,True,False,False
baseline,0,400000,greedy,4000000,29.68312499999999,88,False,0.2434903139612558,True,False,False
baseline,0,500000,sampled,2000000,26.767500000000013,83,False,0.22764195056780226,True,False,False
baseline,0,500000,sampled,2000001,21.454999999999984,67,False,0.19839679358717435,True,False,False
baseline,0,500000,sampled,2000002,26.704999999999913,91,False,0.22773547094188337,True,False,False
baseline,0,500000,sampled,2000003,29.23499999999997,94,False,0.24141616566466256,True,False,False
baseline,0,500000,sampled,2000004,233.46500000000066,373,True,1.0,True,False,False
baseline,0,500000,sampled,2000005,89.72374999999961,253,False,0.5731663326653307,True,False,False
baseline,0,500000,sampled,2000006,233.22500000000062,393,True,1.0,True,False,False
baseline,0,500000,sampled,2000007,233.3662500000005,384,True,1.0,True,False,False
baseline,0,500000,sampled,2000008,233.00625000000082,420,True,1.0,True,False,False
baseline,0,500000,sampled,2000009,233.13750000000067,404,True,1.0,True,False,False
baseline,0,500000,sampled,2000010,88.29499999999963,255,False,0.5656379425517702,True,False,False
baseline,0,500000,sampled,2000011,43.79500000000007,142,False,0.32179024716098864,True,False,False
baseline,0,500000,sampled,2000012,21.394999999999982,73,False,0.19839679358717435,True,False,False
baseline,0,500000,sampled,2000013,63.85999999999991,152,False,0.42955243820975275,True,False,False
baseline,0,500000,sampled,2000014,233.48875000000066,366,True,1.0,True,False,False
baseline,0,500000,sampled,2000015,233.23750000000047,392,True,1.0,True,False,False
baseline,0,500000,sampled,2000016,132.02499999999978,310,False,0.8022712090848363,True,False,False
baseline,0,500000,sampled,2000017,232.56500000000113,462,True,1.0,True,False,False
baseline,0,500000,sampled,2000018,-2.351249999999995,35,False,0.06946559786239144,True,False,False
baseline,0,500000,sampled,2000019,233.55750000000023,364,True,1.0,True,False,False
baseline,0,500000,greedy,4000000,129.11500000000083,401,False,0.7114228456913828,False,True,False
baseline,0,600000,sampled,2000000,233.54500000000058,364,True,1.0,True,False,False
baseline,0,600000,sampled,2000001,233.5525000000007,370,True,1.0,True,False,False
baseline,0,600000,sampled,2000002,233.31250000000057,394,True,1.0,True,False,False
baseline,0,600000,sampled,2000003,27.144999999999975,80,False,0.2294989979959919,True,False,False
baseline,0,600000,sampled,2000004,233.62250000000031,357,True,1.0,True,False,False
baseline,0,600000,sampled,2000005,233.6150000000006,360,True,1.0,True,False,False
baseline,0,600000,sampled,2000006,26.681250000000013,84,False,0.22723446893787572,True,False,False
baseline,0,600000,sampled,2000007,233.7075000000006,347,True,1.0,True,False,False
baseline,0,600000,sampled,2000008,132.34499999999983,278,False,0.8022712090848363,True,False,False
baseline,0,600000,sampled,2000009,233.57250000000067,368,True,1.0,True,False,False
baseline,0,600000,sampled,2000010,233.76250000000059,349,True,1.0,True,False,False
baseline,0,600000,sampled,2000011,233.17500000000084,404,True,1.0,True,False,False
baseline,0,600000,sampled,2000012,138.1712500000001,287,False,0.8338877755511022,True,False,False
baseline,0,600000,sampled,2000013,27.787499999999994,75,False,0.2326653306613226,True,False,False
baseline,0,600000,sampled,2000014,232.9487500000007,427,True,1.0,True,False,False
baseline,0,600000,sampled,2000015,233.3962500000006,380,True,1.0,True,False,False
baseline,0,600000,sampled,2000016,233.45500000000058,376,True,1.0,True,False,False
baseline,0,600000,sampled,2000017,233.4212500000008,371,True,1.0,True,False,False
baseline,0,600000,sampled,2000018,233.83750000000038,332,True,1.0,True,False,False
baseline,0,600000,sampled,2000019,21.32499999999996,80,False,0.19839679358717435,True,False,False
baseline,0,600000,greedy,4000000,233.4375000000007,374,True,1.0,True,False,False
baseline,0,700000,sampled,2000000,233.8987500000004,330,True,1.0,True,False,False
baseline,0,700000,sampled,2000001,26.682500000000047,83,False,0.22718770875083516,True,False,False
baseline,0,700000,sampled,2000002,233.5375000000008,366,True,1.0,True,False,False
baseline,0,700000,sampled,2000003,233.50375000000054,370,True,1.0,True,False,False
baseline,0,700000,sampled,2000004,233.55625000000055,369,True,1.0,True,False,False
baseline,0,700000,sampled,2000005,27.5175,114,False,0.23330661322645274,True,False,False
baseline,0,700000,sampled,2000006,26.339375000000025,87,False,0.2255678022712091,True,False,False
baseline,0,700000,sampled,2000007,138.6975000000001,307,False,0.8377688710754843,True,False,False
baseline,0,700000,sampled,2000008,139.69624999999982,289,False,0.8421442885771545,True,False,False
baseline,0,700000,sampled,2000009,28.116249999999958,99,False,0.235704742818971,True,False,False
baseline,0,700000,sampled,2000010,28.142500000000027,110,False,0.236432865731463,True,False,False
baseline,0,700000,sampled,2000011,233.3862500000007,378,True,1.0,True,False,False
baseline,0,700000,sampled,2000012,138.90999999999994,289,False,0.8379425517702072,True,False,False
baseline,0,700000,sampled,2000013,65.92749999999994,156,False,0.4408149632598531,True,False,False
baseline,0,700000,sampled,2000014,139.58500000000006,296,False,0.841923847695391,True,False,False
baseline,0,700000,sampled,2000015,138.8625,280,False,0.8372077488309956,True,False,False
baseline,0,700000,sampled,2000016,107.87499999999953,225,False,0.6686706746826987,True,False,False
baseline,0,700000,sampled,2000017,233.41937500000054,377,True,1.0,True,False,False
baseline,0,700000,sampled,2000018,233.32500000000076,383,True,1.0,True,False,False
baseline,0,700000,sampled,2000019,233.35000000000082,381,True,1.0,True,False,False
baseline,0,700000,greedy,4000000,233.63500000000056,357,True,1.0,True,False,False
baseline,0,800000,sampled,2000000,233.52875000000057,375,True,1.0,True,False,False
baseline,0,800000,sampled,2000001,89.67374999999974,187,False,0.5693720774883102,True,False,False
baseline,0,800000,sampled,2000002,-1.261250000000004,27,False,0.07486305945223777,True,False,False
baseline,0,800000,sampled,2000003,26.319999999999972,84,False,0.2253039412157646,True,False,False
baseline,0,800000,sampled,2000004,233.49500000000066,368,True,1.0,True,False,False
baseline,0,800000,sampled,2000005,233.84250000000034,333,True,1.0,True,False,False
baseline,0,800000,sampled,2000006,66.0249999999999,151,False,0.441068804275217,True,False,False
baseline,0,800000,sampled,2000007,233.44000000000057,370,True,1.0,True,False,False
baseline,0,800000,sampled,2000008,232.98000000000062,423,True,1.0,True,False,False
baseline,0,800000,sampled,2000009,233.48250000000058,367,True,1.0,True,False,False
baseline,0,800000,sampled,2000010,56.87500000000001,125,False,0.3907815631262525,True,False,False
baseline,0,800000,sampled,2000011,233.4568750000001,369,True,1.0,True,False,False
baseline,0,800000,sampled,2000012,233.7281250000003,352,True,1.0,True,False,False
baseline,0,800000,sampled,2000013,27.21375000000001,97,False,0.23077488309953223,True,False,False
baseline,0,800000,sampled,2000014,233.41750000000044,371,True,1.0,True,False,False
baseline,0,800000,sampled,2000015,27.78374999999999,75,False,0.23264529058116226,True,False,False
baseline,0,800000,sampled,2000016,233.18000000000046,406,True,1.0,True,False,False
baseline,0,800000,sampled,2000017,107.8749999999995,225,False,0.6686706746826987,True,False,False
baseline,0,800000,sampled,2000018,233.2637500000009,396,True,1.0,True,False,False
baseline,0,800000,sampled,2000019,56.56625000000003,133,False,0.38955911823647316,True,False,False
baseline,0,800000,greedy,4000000,51.68500000000033,244,False,0.2892451569806279,False,True,False
baseline,0,900000,sampled,2000000,233.53000000000063,366,True,1.0,True,False,False
baseline,0,900000,sampled,2000001,137.91124999999994,270,False,0.8315898463593858,True,False,False
baseline,0,900000,sampled,2000002,233.75750000000056,339,True,1.0,True,False,False
baseline,0,900000,sampled,2000003,90.66749999999966,196,False,0.5751636606546426,True,False,False
baseline,0,900000,sampled,2000004,28.664375000000007,94,False,0.23836673346693385,True,False,False
baseline,0,900000,sampled,2000005,56.88125,120,False,0.39054776219104875,True,False,False
